Protein name,UniProt ID,Protein abbreviation,Super pathway,Sub pathway,Metabolite,HMDB,KEGG,Beta m1,SE m1,Nominal p-value m1,Beta m2,SE m2,Nominal p-value m2
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotidine,HMDB0000788,Not available,0.0668,0.0472,0.156994221417247,0.0422,0.0502,0.400234659718207
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Thymine containing",3-aminoisobutyrate,HMDB0002166,C05145,-0.0575,0.0442,0.192940331014048,-0.063,0.045,0.162146431127484
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Thymine containing","5,6-dihydrothymine",HMDB0000079,C00906,-0.0028,0.0448,0.950068021436982,-0.0292,0.0461,0.526289938418982
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-deoxyuridine,HMDB0000012,C00526,-0.1529,0.0448,0.000642494725717979,-0.1516,0.0447,0.000691220434327899
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-O-methyluridine,Not available,Not available,-0.0198,0.0449,0.658755116351615,-0.0185,0.0448,0.680013707144841
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-(3-amino-3-carboxypropyl)uridine*,Not available,Not available,0.047,0.0455,0.301186747454687,0.0218,0.0518,0.673700272300775
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-ureidopropionate,HMDB0000026,C02642,0.0346,0.0453,0.444549887508071,0.0415,0.0459,0.366537177506371
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",5-methyluridine (ribothymidine),HMDB0000884,Not available,-0.0202,0.0454,0.656771488744222,-0.0138,0.0467,0.767455708173763
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",HMDB0000076,C00429,0.122,0.0441,0.00568387043532281,0.1059,0.0453,0.0194804840980514
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouridine",HMDB0000497,Not available,0.0345,0.0443,0.436955892626584,0.0177,0.0481,0.713873886251325
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",beta-alanine,HMDB0000056,C00099,0.0891,0.0452,0.0483908378332416,0.0606,0.0496,0.221558801194605
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",N-acetyl-beta-alanine,HMDB0061880,C01073,-0.0052,0.0451,0.908851555191862,-0.0121,0.0453,0.789301566839747
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",pseudouridine,HMDB0000767,C02067,0.0552,0.0447,0.216445244274729,0.0548,0.0503,0.276260830762153
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uracil,HMDB0000300,C00106,-0.0184,0.0454,0.68470596755051,-0.0024,0.0461,0.959196800549607
Gamma-enolase,P09104,ENO2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uridine,HMDB0000296,C00299,0.0744,0.0445,0.0943335240957108,0.0727,0.0445,0.102167319479567
Gastrotropin,P51161,FABP6,Energy,Oxidative Phosphorylation,phosphate,HMDB0001429,C00009,0.0348,0.0466,0.455456297079201,0.0234,0.0471,0.619085363716174
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,aconitate [cis or trans],"HMDB0000958,HMDB000072","C004174,C02341",-0.0239,0.0445,0.591458896189869,-0.0062,0.0459,0.89265088936446
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,alpha-ketoglutarate,HMDB0000208,C00026,-0.094,0.0446,0.0350261863910828,-0.0821,0.0457,0.0723014061121914
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,citraconate/glutaconate,"HMDB0000634,HMDB0000620","C02226,C02214",-0.0439,0.0443,0.322534238095513,-0.0505,0.0444,0.255387276058073
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,citrate,HMDB0000094,C00158,0.0133,0.0448,0.767174914826969,0.0154,0.0447,0.730630075810377
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,fumarate,HMDB0000134,C00122,-0.0037,0.0445,0.934497698358913,-1e-04,0.0445,0.998717675475547
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,malate,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",0,0.0445,0.999890463582469,0.0013,0.0444,0.97722299557261
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,succinate,HMDB0000254,C00042,-0.0088,0.0443,0.841955529708949,-0.0068,0.0443,0.877208822490034
Gastrotropin,P51161,FABP6,Energy,TCA Cycle,succinylcarnitine (C4-DC),HMDB0061717,Not available,0.0681,0.0472,0.149398065584569,0.0844,0.0478,0.0776758530141735
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",allantoin,HMDB0000462,"C02348,C01551,C02350",0.0273,0.0447,0.541326517285076,0.0298,0.0447,0.504785761251425
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",hypoxanthine,HMDB0000157,C00262,0.0191,0.045,0.670894824984512,0.0174,0.045,0.699016373586058
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",inosine,HMDB0000195,C00294,-0.0012,0.0455,0.979614833830933,-0.0058,0.0455,0.898035277973392
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",N1-methylinosine,HMDB0002721,Not available,0.1017,0.0448,0.0231334882138756,0.1272,0.046,0.00568258487567164
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",urate,HMDB0000289,C00366,0.1038,0.0544,0.0566859327462963,0.1453,0.057,0.0108129096141707
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthine,HMDB0000292,C00385,0.0374,0.0453,0.408746416455117,0.0592,0.0466,0.204182133665997
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthosine,HMDB0000299,C01762,0.0629,0.0481,0.190833760242288,0.0685,0.0481,0.154557524771267
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing",adenine,HMDB0000034,C00147,-0.0027,0.0503,0.956492997814032,0.0015,0.0503,0.976647784222809
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",HMDB0000058,C00575,0.081,0.0469,0.0842462361807645,0.0775,0.0469,0.0984534643580912
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing",adenosine 5'-monophosphate (AMP),HMDB0000045,C00020,-0.0859,0.0452,0.057480245204512,-0.0903,0.0452,0.045742905997427
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing",N1-methyladenosine,HMDB0003331,C02494,0.029,0.0447,0.515921444103069,0.0438,0.0453,0.334590633168432
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing",N6-carbamoylthreonyladenosine,HMDB0041623,Not available,0.2213,0.0439,4.65861040632731e-07,0.2385,0.0442,6.93630999304418e-08
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing",N6-methyladenosine,HMDB0004044,Not available,0.0325,0.0454,0.474332653456574,0.0371,0.0454,0.413370386537571
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Adenine containing",N6-succinyladenosine,HMDB0000912,Not available,0.0663,0.0482,0.16901642693337,0.062,0.0482,0.198389738806253
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Guanine containing",7-methylguanine,HMDB0000897,C02242,-0.0301,0.0449,0.503320772990031,-0.0183,0.0455,0.687898341644152
Gastrotropin,P51161,FABP6,Nucleotide,"Purine Metabolism, Guanine containing","N2,N2-dimethylguanosine",HMDB0004824,Not available,0.0762,0.0443,0.0851382748092695,0.0985,0.0454,0.0298870745646878
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",2'-O-methylcytidine,Not available,Not available,0.1163,0.0441,0.00839187552945919,0.1107,0.0443,0.0123869091116224
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",3-methylcytidine,HMDB0240577,Not available,-0.0099,0.0472,0.833563295671195,-0.0096,0.0471,0.838485375028599
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytidine,HMDB0000089,C00475,0.0561,0.0471,0.234163255146529,0.0502,0.0472,0.287703645461503
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytosine,HMDB0000630,C00380,0.0447,0.0455,0.326435105891022,0.0392,0.0456,0.390593433423304
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",N4-acetylcytidine,HMDB0005923,Not available,0.0573,0.0447,0.20006108111909,0.0632,0.0448,0.158024959613751
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Orotate containing",dihydroorotate,HMDB03349,C00337,0.113,0.0464,0.0148147284388112,0.1309,0.047,0.00533967217796016
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotate,HMDB0000226,C00295,0.0037,0.0444,0.933180576231995,0.0084,0.0444,0.850641615156695
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotidine,HMDB0000788,Not available,0.0731,0.0475,0.123757200914671,0.089,0.0481,0.0640596652749328
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Thymine containing",3-aminoisobutyrate,HMDB0002166,C05145,0.0755,0.0445,0.0897986729604958,0.0754,0.0444,0.0898201965531515
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Thymine containing","5,6-dihydrothymine",HMDB0000079,C00906,0.024,0.0448,0.592217788869589,0.0423,0.0458,0.356059424030855
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-deoxyuridine,HMDB0000012,C00526,0.0355,0.0453,0.433278991672478,0.0354,0.0452,0.43415820959191
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-O-methyluridine,Not available,Not available,0.0302,0.0448,0.500122543855294,0.0283,0.0448,0.527714991605957
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-(3-amino-3-carboxypropyl)uridine*,Not available,Not available,0.1814,0.045,5.5572284732186e-05,0.1957,0.0453,1.53029631926316e-05
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-ureidopropionate,HMDB0000026,C02642,0.1395,0.0452,0.00199827785109141,0.1346,0.0452,0.0029264474217674
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",5-methyluridine (ribothymidine),HMDB0000884,Not available,0.0358,0.0455,0.430970549879862,0.0267,0.0458,0.560641554870811
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",HMDB0000076,C00429,0.0518,0.0445,0.243789749543788,0.0674,0.0451,0.135002519673367
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouridine",HMDB0000497,Not available,0.1411,0.044,0.0013449746039198,0.146,0.044,0.000905078954690275
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",beta-alanine,HMDB0000056,C00099,-0.0119,0.0456,0.794409808525218,0.0109,0.0477,0.819440206860455
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",N-acetyl-beta-alanine,HMDB0061880,C01073,0.1107,0.0448,0.0135525014367699,0.1131,0.0448,0.0115785863950253
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",pseudouridine,HMDB0000767,C02067,0.197,0.0438,6.88972861984105e-06,0.1952,0.0438,8.1800744087257e-06
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uracil,HMDB0000300,C00106,0.1583,0.0461,0.000602693036854785,0.1512,0.0465,0.00113639209982352
Gastrotropin,P51161,FABP6,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uridine,HMDB0000296,C00299,0.1452,0.0452,0.00132111731685947,0.1488,0.0452,0.000986869816120395
GRB2-related adapter protein 2,O75791,GRAP2,Energy,Oxidative Phosphorylation,phosphate,HMDB0001429,C00009,-0.0795,0.0472,0.0918717060887617,-0.0571,0.0474,0.228483099090871
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,aconitate [cis or trans],"HMDB0000958,HMDB000072","C004174,C02341",0.0901,0.0449,0.0449244839260845,0.0576,0.0461,0.211409189497929
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,alpha-ketoglutarate,HMDB0000208,C00026,0.0191,0.0455,0.674246002544453,-0.0132,0.0461,0.77561780297009
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,citraconate/glutaconate,"HMDB0000634,HMDB0000620","C02226,C02214",-0.0258,0.045,0.566695223980702,-0.0133,0.0448,0.765719377599623
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,citrate,HMDB0000094,C00158,-0.0377,0.0454,0.40630518530305,-0.042,0.045,0.350593587046177
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,fumarate,HMDB0000134,C00122,-0.0309,0.0451,0.493696937117041,-0.0382,0.0447,0.393846274690527
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,malate,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",-0.0272,0.0451,0.54655309321819,-0.0298,0.0447,0.505867962120041
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,succinate,HMDB0000254,C00042,0.0578,0.0449,0.198433789766848,0.0538,0.0445,0.226888587228896
GRB2-related adapter protein 2,O75791,GRAP2,Energy,TCA Cycle,succinylcarnitine (C4-DC),HMDB0061717,Not available,0.1041,0.0478,0.0293760757090016,0.0792,0.0482,0.100201672091056
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",allantoin,HMDB0000462,"C02348,C01551,C02350",0.0543,0.0453,0.230808580320785,0.0495,0.0449,0.270800119587696
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",hypoxanthine,HMDB0000157,C00262,-0.0235,0.0457,0.60756660584924,-0.02,0.0453,0.659291169400102
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",inosine,HMDB0000195,C00294,0.0085,0.0462,0.853253120292095,0.0179,0.0458,0.695962201885595
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",N1-methylinosine,HMDB0002721,Not available,-0.005,0.0457,0.913334418496183,-0.0433,0.0466,0.352784377972259
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",urate,HMDB0000289,C00366,0.0751,0.0553,0.174712637658049,0.0221,0.0578,0.701570000778216
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthine,HMDB0000292,C00385,0.058,0.0459,0.207192948298113,0.023,0.047,0.624979865900778
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthosine,HMDB0000299,C01762,0.0066,0.0489,0.892203634143261,-0.0039,0.0485,0.935589092925342
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing",adenine,HMDB0000034,C00147,-0.0188,0.051,0.71254831109057,-0.0273,0.0506,0.58960846081172
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",HMDB0000058,C00575,0.072,0.0476,0.130960265069324,0.0795,0.0472,0.0922712932728302
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing",adenosine 5'-monophosphate (AMP),HMDB0000045,C00020,0.321,0.0437,2.1516122217e-13,0.3302,0.0432,2.131628207e-14
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing",N1-methyladenosine,HMDB0003331,C02494,0.0701,0.0452,0.121497332350251,0.045,0.0457,0.323946759543583
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing",N6-carbamoylthreonyladenosine,HMDB0041623,Not available,0.0222,0.0457,0.626914250821793,-6e-04,0.0458,0.989810899948974
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing",N6-methyladenosine,HMDB0004044,Not available,0.0074,0.0461,0.871973636527254,-0.0016,0.0458,0.971845171354656
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Adenine containing",N6-succinyladenosine,HMDB0000912,Not available,-0.1035,0.0488,0.0338475223100336,-0.0948,0.0484,0.0502156257867912
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Guanine containing",7-methylguanine,HMDB0000897,C02242,0.0204,0.0456,0.65448796273544,-0.0043,0.0459,0.924828367473217
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Purine Metabolism, Guanine containing","N2,N2-dimethylguanosine",HMDB0004824,Not available,0.0651,0.045,0.147779832416333,0.0331,0.0459,0.471280877793465
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",2'-O-methylcytidine,Not available,Not available,-0.002,0.0451,0.9653588984312,0.0112,0.0448,0.803449972918978
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",3-methylcytidine,HMDB0240577,Not available,0.0898,0.0477,0.0599913025862995,0.0891,0.0473,0.0593547569367992
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytidine,HMDB0000089,C00475,-0.0467,0.0479,0.329141419781227,-0.0345,0.0476,0.468020511099599
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",cytosine,HMDB0000630,C00380,-0.015,0.0462,0.74524263531351,-0.0035,0.046,0.939023316515036
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",N4-acetylcytidine,HMDB0005923,Not available,0.0694,0.0454,0.125785442852225,0.0587,0.0451,0.192718812527226
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Orotate containing",dihydroorotate,HMDB03349,C00337,-0.083,0.0472,0.0787423012351582,-0.1139,0.0474,0.0162366231063333
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotate,HMDB0000226,C00295,0.0581,0.045,0.196690065486107,0.0491,0.0447,0.272094328375151
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Orotate containing",orotidine,HMDB0000788,Not available,0.0674,0.0482,0.162060303388933,0.042,0.0485,0.386268089188067
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Thymine containing",3-aminoisobutyrate,HMDB0002166,C05145,-0.0965,0.0451,0.0322212157882491,-0.0963,0.0446,0.0310583383204104
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Thymine containing","5,6-dihydrothymine",HMDB0000079,C00906,-0.0079,0.0454,0.861736486521882,-0.0424,0.0461,0.357580303388513
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-deoxyuridine,HMDB0000012,C00526,-0.1285,0.0456,0.00486509198759477,-0.1282,0.0452,0.00454798625400121
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",2'-O-methyluridine,Not available,Not available,-0.0785,0.0454,0.0835549944322367,-0.0746,0.045,0.0970687455857913
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-(3-amino-3-carboxypropyl)uridine*,Not available,Not available,-0.0071,0.0464,0.879142083747519,-0.0286,0.0464,0.53818645387235
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3-ureidopropionate,HMDB0000026,C02642,-0.0215,0.0462,0.642174878677099,-0.0101,0.046,0.826378222785317
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",5-methyluridine (ribothymidine),HMDB0000884,Not available,-0.1151,0.0459,0.0121566782907778,-0.0975,0.046,0.0337808128485184
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouracil",HMDB0000076,C00429,0.0557,0.0451,0.216801234300261,0.0301,0.0455,0.508710646523602
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing","5,6-dihydrouridine",HMDB0000497,Not available,0.0236,0.0451,0.601318058622423,0.015,0.0448,0.7381531508341
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",beta-alanine,HMDB0000056,C00099,0.0799,0.0462,0.0834526170221017,0.0397,0.048,0.40791300395099
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",N-acetyl-beta-alanine,HMDB0061880,C01073,-0.003,0.0458,0.946961667712832,-0.0075,0.0454,0.868488919716655
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",pseudouridine,HMDB0000767,C02067,0.03,0.0453,0.507396720631915,0.034,0.0449,0.449492840126803
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uracil,HMDB0000300,C00106,-0.0116,0.0474,0.806441124422923,0.0072,0.0473,0.879138682532381
GRB2-related adapter protein 2,O75791,GRAP2,Nucleotide,"Pyrimidine Metabolism, Uracil containing",uridine,HMDB0000296,C00299,-0.0016,0.0464,0.973153862228998,-0.0081,0.046,0.859734132232454
Growth-regulated alpha protein,P09341,CXCL1,Energy,Oxidative Phosphorylation,phosphate,HMDB0001429,C00009,-0.0034,0.0465,0.941877174769072,-0.0031,0.0474,0.948580297219531
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,aconitate [cis or trans],"HMDB0000958,HMDB000072","C004174,C02341",0.0996,0.0441,0.0238523456306965,0.1028,0.0469,0.0284253414792417
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,alpha-ketoglutarate,HMDB0000208,C00026,0.0829,0.0442,0.0605981858481615,0.0881,0.0457,0.0541892473001169
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,citraconate/glutaconate,"HMDB0000634,HMDB0000620","C02226,C02214",0.0414,0.0443,0.35052169679171,0.0366,0.0453,0.41824906819317
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,citrate,HMDB0000094,C00158,0.1021,0.0444,0.0214896267947868,0.0989,0.0449,0.0275324615371373
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,fumarate,HMDB0000134,C00122,0.0699,0.0443,0.114085019977727,0.0654,0.045,0.146338178621652
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,malate,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",0.059,0.0443,0.18281987977288,0.0541,0.045,0.229134191447757
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,succinate,HMDB0000254,C00042,0.0729,0.0444,0.100476679301689,0.068,0.0455,0.135155651476327
Growth-regulated alpha protein,P09341,CXCL1,Energy,TCA Cycle,succinylcarnitine (C4-DC),HMDB0061717,Not available,0.0971,0.0467,0.0376142963112334,0.0972,0.0495,0.0493616299819331
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",allantoin,HMDB0000462,"C02348,C01551,C02350",0.0825,0.0448,0.0653746565832281,0.0791,0.0452,0.0799696071459337
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",hypoxanthine,HMDB0000157,C00262,0.1586,0.0443,0.000347772726637885,0.1597,0.0444,0.000322902164271888
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",inosine,HMDB0000195,C00294,0.1705,0.0449,0.000146370926393136,0.1687,0.0454,0.000204839866670303
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",N1-methylinosine,HMDB0002721,Not available,0.0996,0.0448,0.0263330490557205,0.1046,0.0494,0.0342469900098241
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",urate,HMDB0000289,C00366,0.0433,0.0547,0.429277856776287,0.0351,0.061,0.565305913527145
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthine,HMDB0000292,C00385,0.1036,0.0445,0.0197447484723958,0.1096,0.0468,0.0192525496290721
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthosine,HMDB0000299,C01762,0.056,0.0481,0.245069956768084,0.048,0.051,0.346929451148688
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, Adenine containing",adenine,HMDB0000034,C00147,0.0225,0.0503,0.655045112644565,0.0162,0.0511,0.751571197205055
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",HMDB0000058,C00575,0.0878,0.0471,0.0622610331942664,0.0833,0.0489,0.088212437197301
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, Adenine containing",adenosine 5'-monophosphate (AMP),HMDB0000045,C00020,0.3952,0.041,0,0.3957,0.041,0
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, Adenine containing",N1-methyladenosine,HMDB0003331,C02494,0.1089,0.0445,0.0143902133018092,0.1113,0.0477,0.0196724392012766
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, Adenine containing",N6-carbamoylthreonyladenosine,HMDB0041623,Not available,0.1139,0.0446,0.0106975106534908,0.1284,0.0518,0.0132173181704078
Growth-regulated alpha protein,P09341,CXCL1,Nucleotide,"Purine Metabolism, Adenine containing",N6-methyladenosine,HMDB0004044,Not available,0.04,0.0456,0.379980776666628,0.0336,0.0467,0.471956823437274
